ratingsID,EpisodeID,viewers,imdb_rating,imdb_votes
1,1,4.59,7.9,5500
2,2,4.59,7.7,4700
3,3,4.63,7.5,4700
4,4,2.98,6.7,4500
5,5,4.09,7.2,4300
6,6,3.42,7.2,4500
7,7,3.39,8.4,4600
8,8,2.47,6.5,4300
9,9,2.56,7.5,4300
10,10,3.47,8,4300
11,11,3.36,7.5,4100
12,12,3.97,8.7,4600
13,13,4.37,8,4200
14,14,4.42,6.8,3900
15,15,4.86,8.7,4400
16,16,4.7,7,4000
17,17,4.77,7,3900
18,18,5.88,8.8,4800
19,19,4.98,8.2,4100
20,20,5.59,7.6,3800
21,21,5.04,8.1,3900
22,22,5.41,8.4,3900
23,23,6.09,7.4,4000
24,24,6.48,6.6,3800
25,25,7.59,8.5,4100
26,26,7.94,9.2,4700
27,27,7.31,7.9,3700
28,28,6.77,8.6,4500
29,29,6.14,9.3,5100
30,30,6.08,7.3,3800
31,31,5.06,8.3,4300
32,32,5.13,6.7,3800
33,33,5.3,9,4400
34,34,6.37,9.5,5300
35,35,7.06,7.8,4100
36,36,6.2,7.3,3700
37,37,5.46,8.1,3800
38,38,6.2,7.4,3600
39,39,6.53,8,3600
40,40,6.35,8.6,4200
41,41,6.46,8,3700
42,42,6,8.8,4400
43,43,6.32,9.1,4800
44,44,6.85,8.2,3900
45,45,6.42,7.2,3600
46,46,7,8.3,3800
47,47,5.93,8.6,4500
48,48,6.09,8.2,3700
49,49,5.93,8.1,3500
50,50,6.5,9.2,4700
51,51,5.94,8.5,3700
52,52,5.08,8.1,3900
53,53,5.04,8.7,3500
54,54,5.22,8.9,3900
55,55,5.13,9.2,4000
56,56,6.53,8.7,4200
57,57,6.79,7.6,3600
58,58,5.64,7.5,3600
59,59,5.09,7.9,3400
60,60,5.98,8.4,3800
61,61,5.11,6.3,3900
62,62,6.51,7.9,3500
63,63,5.65,7.9,3000
64,64,5.9,7.9,3600
65,65,5.42,8.9,4200
66,66,5.97,9.7,8400
67,67,5.35,7.5,3300
68,68,6.02,8.2,3400
69,69,4.83,7.4,3100
70,70,4.85,7,3100
71,71,5.75,8.4,3500
72,72,4.9,8.9,3900
73,73,4.11,7.2,3800
74,74,3.85,6.3,3600
75,75,4.02,8.1,3300
76,76,4.55,8,3300
77,77,4.85,8.2,3400
78,78,4.5,8.6,4600
79,79,5.83,7.6,3500
80,80,6.17,7.4,2900
81,81,5.34,8,3200
82,82,5.1,7.5,3000
83,83,6.41,8.1,2900
84,84,6.19,8.1,3200
85,85,5.66,9.1,4100
86,86,4.83,7.3,2700
87,87,5.48,7,2800
88,88,4.85,7.4,3000
89,89,4.85,7.6,2900
90,90,5.01,8.3,3100
91,91,4.89,8.2,3000
92,92,4.9,8.4,3200
93,93,5.11,7.4,2900
94,94,5.97,9.7,7800
95,95,4.29,8,3100
96,96,4.73,8.6,3200
97,97,4.59,8.1,2800
98,98,5.11,8.2,2800
99,99,4.76,7.9,2800
100,100,5.22,9.5,5100
101,101,7.65,8.1,3000
102,102,7.65,8.2,2900
103,103,5.58,7.8,2600
104,104,6.03,7.2,2500
105,105,5.68,7.8,2700
106,106,5.23,7.1,2600
107,107,5.44,9.7,11000
108,108,5.4,9.1,4100
109,109,5,7.9,2900
110,110,5.57,7.6,2700
111,111,5.16,7.7,2600
112,112,5.57,6.7,2800
113,113,5.21,7.5,2600
114,114,5.01,7.6,2500
115,115,4.7,6.7,2700
116,116,5.61,7.5,2800
117,117,5.01,8.4,3400
118,118,4.53,7.8,2500
119,119,4.06,8.5,3100
120,120,4.96,8.8,3100
121,121,5.31,8.7,3000
122,122,5.31,8.9,3400
123,123,4.99,7.6,2600
124,124,4.97,7.8,2700
125,125,4.9,7.9,2500
126,126,5.04,7.8,2600
127,127,5.02,8.7,3100
128,128,4.65,7.1,2800
129,129,4.83,8.9,3600
130,130,5.03,7.7,2400
131,131,4.83,7.8,2300
132,132,4.79,7.7,2400
133,133,4.08,8,2500
134,134,3.61,7.6,2300
135,135,3.46,7.2,2500
136,136,4.24,7.4,2300
137,137,3.43,7.5,2300
138,138,3.63,8.2,2900
139,139,3.44,8.7,3200
140,140,3.31,8.6,2600
141,141,3.6,7.6,2400
142,142,4.02,8.4,2800
143,143,4.06,8.5,2800
144,144,4.87,9.3,4900
