EpisodeID,writerID
1,1
2,1
3,2
4,3
5,4
5,5
6,6
6,7
7,3
8,8
8,9
9,4
9,5
10,1
10,3
11,1
11,8
11,9
12,1
13,1
14,10
15,1
15,3
16,13
16,7
17,3
18,15
19,1
20,5
20,4
21,16
21,17
22,17
23,3
23,1
24,17
25,17
26,1
27,4
27,5
28,17
29,10
30,4
30,5
31,17
32,11
32,12
33,1
34,1
35,1
36,17
37,3
38,17
39,3
40,18
41,19
42,20
43,17
44,1
45,21
45,18
46,11
47,20
48,19
49,17
50,1
51,19
52,18
53,11
54,17
55,1
56,1
57,1
58,17
59,18
60,11
61,22
62,17
63,19
64,18
65,22
66,1
67,17
67,11
67,18
68,18
69,11
70,17
71,19
72,1
73,18
74,22
75,17
76,19
77,11
78,1
79,17
80,11
81,18
82,23
83,19
84,1
85,19
86,11
87,23
88,17
89,18
90,19
90,18
91,24
92,11
93,18
94,1
95,17
96,18
97,23
98,24
99,19
100,1
101,17
102,11
103,18
104,18
104,19
105,11
106,18
106,24
107,1
108,23
109,25
110,17
111,11
112,18
113,24
114,25
115,19
116,23
117,26
118,25
119,24
120,17
121,19
122,11
123,1
124,19
125,18
126,23
127,27
128,25
129,18
129,27
130,11
130,18
131,27
132,19
132,17
133,11
134,23
135,25
136,18
137,19
138,18
139,27
139,11
140,27
141,25
142,23
143,19
143,18
144,1
